,struc_id,resName1,seqNum1,SITE_ID,nuclearity,resName2,seqNum2,resName3,seqNum3,resName4,seqNum4,Set,pdb_name,MAHOMES_match,Enzyme,meta_site
49,1dck_B,MN,1002,1dck_B_0,1,,,,,,,data,1dck_B,match,False,1dck_B_0
50,1dfe_A,ZN,38,1dfe_A_0,1,,,,,,,data,1dfe_A,match,False,1dfe_A_0
51,1dfx_A,FE,131,1dfx_A_0,1,,,,,,,data,1dfx_A,match,False,1dfx_A_0
52,1dg6_A,ZN,300,1dg6_A_0,1,,,,,,,data,1dg6_A,match,False,1dg6_A_0
53,1doi_A,FES,129,1doi_A_0,2,FES,129,,,,,data,1doi_A,partial,False,1doi_A_0
54,1dox_A,FES,97,1dox_A_0,2,FES,97,,,,,data,1dox_A,partial,False,1dox_A_0
55,1dqv_A,MG,590,1dqv_A_0,1,,,,,,,data,1dqv_A,partial,False,1dqv_A_0
56,1dqv_A,MG,591,1dqv_A_1,1,,,,,,,data,1dqv_A,partial,False,1dqv_A_1
57,1dqv_A,MG,592,1dqv_A_2,1,,,,,,,data,1dqv_A,partial,False,1dqv_A_2
58,1dsq_A,ZN,144,1dsq_A_0,1,,,,,,,data,1dsq_A,match,False,1dsq_A_0
59,1dsv_A,ZN,171,1dsv_A_0,1,,,,,,,data,1dsv_A,match,False,1dsv_A_0
60,1dv6_H,ZN,1010,1dv6_H_0,1,,,,,,,data,1dv6_H,match,False,1dv6_H_0
61,1dx8_A,ZN,71,1dx8_A_0,1,,,,,,,data,1dx8_A,match,False,1dx8_A_0
62,1dy0_A,ZN,401,1dy0_A_0,1,,,,,,,data,1dy0_A,match,False,1dy0_A_0
63,1e0o_B,NI,401,1e0o_B_0,1,,,,,,,data,1e0o_B,match,False,1e0o_B_0
64,1e3i_A,ZN,381,1e3i_A_1,1,,,,,,,data,1e3i_A,match,False,1e3i_A_1
65,1e3j_A,ZN,901,1e3j_A_0,1,,,,,,,data,1e3j_A,match,False,1e3j_A_0
66,1e4u_A,ZN,79,1e4u_A_0,1,,,,,,,data,1e4u_A,match,False,1e4u_A_0
67,1e4u_A,ZN,80,1e4u_A_1,1,,,,,,,data,1e4u_A,match,False,1e4u_A_1
68,1ecc_A,MN,2376,1ecc_A_1,1,,,,,,,data,1ecc_A,match,False,1ecc_A_0
69,1eje_A,NI,201,1eje_A_0,1,,,,,,,data,1eje_A,match,False,1eje_A_0
70,1eje_A,NI,202,1eje_A_1,1,,,,,,,data,1eje_A,match,False,1eje_A_1
71,1ek0_A,NI,602,1ek0_A_1,1,,,,,,,data,1ek0_A,match,False,1ek0_A_0
72,1elw_A,NI,402,1elw_A_0,1,,,,,,,data,1elw_A,match,False,1elw_A_0
73,1elw_A,NI,403,1elw_A_1,1,,,,,,,data,1elw_A,match,False,1elw_A_1
74,1esk_A,ZN,54,1esk_A_0,1,,,,,,,data,1esk_A,match,False,1esk_A_0
75,1ete_A,ZN,135,1ete_A_0,1,,,,,,,data,1ete_A,match,False,1ete_A_0
76,1eu3_A,ZN,401,1eu3_A_0,1,,,,,,,data,1eu3_A,match,False,1eu3_A_0
77,1eu4_A,ZN,400,1eu4_A_0,1,,,,,,,data,1eu4_A,match,False,1eu4_A_0
78,1ew2_A,MG,1004,1ew2_A_1,1,,,,,,,data,1ew2_A,match,False,1ew2_A_1
79,1ewc_A,ZN,500,1ewc_A_0,1,,,,,,,data,1ewc_A,match,False,1ewc_A_0
80,1exk_A,ZN,80,1exk_A_0,1,,,,,,,data,1exk_A,match,False,1exk_A_0
81,1exk_A,ZN,81,1exk_A_1,1,,,,,,,data,1exk_A,match,False,1exk_A_1
82,1ext_A,MG,404,1ext_A_0,1,,,,,,,data,1ext_A,match,False,1ext_A_0
83,1f1m_A,ZN,801,1f1m_A_0,1,,,,,,,data,1f1m_A,match,False,1f1m_A_0
84,1f56_A,CU,92,1f56_A_0,1,,,,,,,data,1f56_A,match,False,1f56_A_0
85,1f5f_A,ZN,252,1f5f_A_1,1,,,,,,,data,1f5f_A,match,False,1f5f_A_0
86,1f62_A,ZN,52,1f62_A_0,1,,,,,,,data,1f62_A,match,False,1f62_A_0
87,1f62_A,ZN,53,1f62_A_1,1,,,,,,,data,1f62_A,match,False,1f62_A_1
88,1f81_A,ZN,88,1f81_A_0,1,,,,,,,data,1f81_A,match,False,1f81_A_0
89,1f81_A,ZN,89,1f81_A_1,1,,,,,,,data,1f81_A,match,False,1f81_A_1
90,1f81_A,ZN,90,1f81_A_2,1,,,,,,,data,1f81_A,match,False,1f81_A_2
91,1f8f_A,ZN,373,1f8f_A_1,1,,,,,,,data,1f8f_A,match,False,1f8f_A_0
92,1fi1_A,MG,1025,1fi1_A_1,1,,,,,,,data,1fi1_A,match,False,1fi1_A_0
93,1fio_A,ZN,502,1fio_A_1,1,,,,,,,data,1fio_A,match,False,1fio_A_0
94,1fn9_A,ZN,1001,1fn9_A_0,1,,,,,,,data,1fn9_A,match,False,1fn9_A_0
95,1fp0_A,ZN,89,1fp0_A_0,1,,,,,,,data,1fp0_A,match,False,1fp0_A_0
96,1fp0_A,ZN,90,1fp0_A_1,1,,,,,,,data,1fp0_A,match,False,1fp0_A_1
97,1fr9_A,ZN,196,1fr9_A_0,1,,,,,,,data,1fr9_A,match,False,1fr9_A_0
98,1frd_A,FES,99,1frd_A_0,2,FES,99,,,,,data,1frd_A,partial,False,1frd_A_0
99,1fre_A,ZN,43,1fre_A_0,1,,,,,,,data,1fre_A,match,False,1fre_A_0
100,1fu9_A,ZN,37,1fu9_A_0,1,,,,,,,data,1fu9_A,match,False,1fu9_A_0
101,1fuk_A,ZN,900,1fuk_A_0,1,,,,,,,data,1fuk_A,match,False,1fuk_A_0
102,1fv5_A,ZN,37,1fv5_A_0,1,,,,,,,data,1fv5_A,match,False,1fv5_A_0
103,1fvu_B,MG,1001,1fvu_B_0,1,,,,,,,data,1fvu_B,match,False,1fvu_B_0
104,1fwq_A,ZN,124,1fwq_A_0,1,,,,,,,data,1fwq_A,match,False,1fwq_A_0
105,1fx7_A,CO,2001,1fx7_A_0,1,,,,,,,data,1fx7_A,match,False,1fx7_A_0
106,1fx7_A,CO,2002,1fx7_A_1,1,,,,,,,data,1fx7_A,match,False,1fx7_A_1
107,1fx7_A,CO,2009,1fx7_A_2,1,,,,,,,data,1fx7_A,match,False,1fx7_A_2
108,1g29_1,MG,378,1g29_1_0,1,,,,,,,data,1g29_1,partial,False,1g29_1_0
109,1g29_1,MG,392,1g29_1_2,1,,,,,,,data,1g29_1,partial,False,1g29_1_1
110,1g29_1,MG,393,1g29_1_3,1,,,,,,,data,1g29_1,match,False,1g29_1_2
111,1g43_A,ZN,201,1g43_A_0,1,,,,,,,data,1g43_A,partial,False,1g43_A_0
112,1g43_A,ZN,202,1g43_A_1,1,,,,,,,data,1g43_A,partial,False,1g43_A_1
113,1g47_A,ZN,999,1g47_A_1,1,,,,,,,data,1g47_A,match,False,1g47_A_0
114,1g73_D,ZN,502,1g73_D_0,1,,,,,,,data,1g73_D,match,False,1g73_D_0
115,1ga2_A,MG,784,1ga2_A_2,1,,,,,,,data,1ga2_A,match,False,1ga2_A_0
116,1gud_A,ZN,1289,1gud_A_0,1,,,,,,,data,1gud_A,match,False,1gud_A_0
117,1gud_A,ZN,1292,1gud_A_3,1,,,,,,,data,1gud_A,match,False,1gud_A_1
118,1gzc_A,MN,289,1gzc_A_0,1,,,,,,,data,1gzc_A,match,False,1gzc_A_0
119,1h2b_A,ZN,1363,1h2b_A_1,1,,,,,,,data,1h2b_A,match,False,1h2b_A_1
120,1h2b_A,ZN,1364,1h2b_A_2,1,,,,,,,data,1h2b_A,match,False,1h2b_A_2
121,1h9r_B,NI,1263,1h9r_B_0,1,,,,,,,data,1h9r_B,match,False,1h9r_B_0
122,1h9u_C,NI,2,1h9u_C_0,1,,,,,,,data,1h9u_C,match,False,1h9u_C_0
123,1he1_A,NI,230,1he1_A_0,1,,,,,,,data,1he1_A,match,False,1he1_A_0
124,1he1_C,MG,202,1he1_C_0,1,,,,,,,data,1he1_C,match,False,1he1_C_0
125,1he1_C,NI,203,1he1_C_1,1,,,,,,,data,1he1_C,match,False,1he1_C_1
126,1hfc_A,ZN,276,1hfc_A_1,1,,,,,,,data,1hfc_A,match,False,1hfc_A_0
127,1hfs_A,ZN,258,1hfs_A_1,1,,,,,,,data,1hfs_A,match,False,1hfs_A_0
128,1hj1_A,NI,1438,1hj1_A_0,1,,,,,,,data,1hj1_A,match,False,1hj1_A_0
129,1hj1_A,NI,1439,1hj1_A_1,1,,,,,,,data,1hj1_A,match,False,1hj1_A_1
130,1hk7_A,MG,1533,1hk7_A_0,1,,,,,,,data,1hk7_A,match,False,1hk7_A_0
131,1hov_A,ZN,165,1hov_A_0,1,,,,,,,data,1hov_A,match,False,1hov_A_0
132,1hp7_A,ZN,402,1hp7_A_1,1,,,,,,,data,1hp7_A,match,False,1hp7_A_0
133,1hp7_A,ZN,403,1hp7_A_2,1,,,,,,,data,1hp7_A,match,False,1hp7_A_1
134,1hp7_A,ZN,404,1hp7_A_3,1,,,,,,,data,1hp7_A,match,False,1hp7_A_2
135,1hp7_A,ZN,405,1hp7_A_4,1,,,,,,,data,1hp7_A,match,False,1hp7_A_3
136,1hql_A,MN,301,1hql_A_0,1,,,,,,,data,1hql_A,match,False,1hql_A_0
137,1hra_A,ZN,81,1hra_A_0,1,,,,,,,data,1hra_A,match,False,1hra_A_0
138,1hra_A,ZN,82,1hra_A_1,1,,,,,,,data,1hra_A,match,False,1hra_A_1
139,1htw_A,MG,562,1htw_A_1,1,,,,,,,data,1htw_A,match,False,1htw_A_0
140,1hv5_A,ZN,5501,1hv5_A_0,1,,,,,,,data,1hv5_A,match,False,1hv5_A_0
141,1hxr_A,ZN,200,1hxr_A_0,1,,,,,,,data,1hxr_A,match,False,1hxr_A_0
142,1hyi_A,ZN,66,1hyi_A_0,1,,,,,,,data,1hyi_A,match,False,1hyi_A_0
143,1hyi_A,ZN,67,1hyi_A_1,1,,,,,,,data,1hyi_A,match,False,1hyi_A_1
144,1i1i_P,ZN,702,1i1i_P_1,1,,,,,,,data,1i1i_P,match,False,1i1i_P_1
145,1i27_A,ZN,999,1i27_A_0,1,,,,,,,data,1i27_A,match,False,1i27_A_0
146,1i76_A,ZN,998,1i76_A_0,1,,,,,,,data,1i76_A,match,False,1i76_A_0
147,1i7w_A,ZN,1,1i7w_A_0,1,,,,,,,data,1i7w_A,match,False,1i7w_A_0
148,1ibi_A,ZN,195,1ibi_A_0,1,,,,,,,data,1ibi_A,match,False,1ibi_A_0
149,1ibq_A,ZN,1451,1ibq_A_0,1,,,,,,,data,1ibq_A,match,False,1ibq_A_0
150,1ibq_A,ZN,1453,1ibq_A_1,1,,,,,,,data,1ibq_A,match,False,1ibq_A_1
151,1ibq_A,ZN,1455,1ibq_A_2,1,,,,,,,data,1ibq_A,match,False,1ibq_A_2
152,1ic0_A,CU,306,1ic0_A_0,1,,,,,,,data,1ic0_A,match,False,1ic0_A_0
153,1ido_A,MG,400,1ido_A_0,1,,,,,,,data,1ido_A,match,False,1ido_A_0
154,1ig5_A,MG,78,1ig5_A_0,1,,,,,,,data,1ig5_A,match,False,1ig5_A_0
155,1iml_A,ZN,77,1iml_A_0,1,,,,,,,data,1iml_A,match,False,1iml_A_0
156,1iml_A,ZN,78,1iml_A_1,1,,,,,,,data,1iml_A,match,False,1iml_A_1
157,1io0_A,ZN,1001,1io0_A_0,1,,,,,,,data,1io0_A,match,False,1io0_A_0
158,1iue_A,FES,1099,1iue_A_0,2,FES,1099,,,,,data,1iue_A,partial,False,1iue_A_0
159,1iwl_A,ZN,191,1iwl_A_0,1,,,,,,,data,1iwl_A,match,False,1iwl_A_0
160,1iwl_A,ZN,192,1iwl_A_1,2,MG,195,,,,,data,1iwl_A,match,False,1iwl_A_1
161,1iwl_A,MG,194,1iwl_A_3,1,,,,,,,data,1iwl_A,match,False,1iwl_A_2
162,1iym_A,ZN,182,1iym_A_0,1,,,,,,,data,1iym_A,match,False,1iym_A_0
163,1iym_A,ZN,183,1iym_A_1,1,,,,,,,data,1iym_A,match,False,1iym_A_1
164,1j98_A,ZN,300,1j98_A_0,1,,,,,,,data,1j98_A,match,False,1j98_A_0
165,1jcc_B,ZN,82,1jcc_B_0,1,,,,,,,data,1jcc_B,match,False,1jcc_B_0
166,1jed_A,MG,521,1jed_A_0,1,,,,,,,data,1jed_A,match,False,1jed_A_0
167,1jer_A,CU,138,1jer_A_0,1,,,,,,,data,1jer_A,match,False,1jer_A_0
168,1jjd_A,ZN,101,1jjd_A_0,4,ZN,102,ZN,103,ZN,104,data,1jjd_A,match,False,1jjd_A_0
169,1jjt_A,ZN,261,1jjt_A_1,1,,,,,,,data,1jjt_A,match,False,1jjt_A_0
170,1jlk_A,MN,627,1jlk_A_0,1,,,,,,,data,1jlk_A,match,False,1jlk_A_0
171,1jm7_A,ZN,123,1jm7_A_0,1,,,,,,,data,1jm7_A,match,False,1jm7_A_0
172,1jm7_B,ZN,143,1jm7_B_0,1,,,,,,,data,1jm7_B,match,False,1jm7_B_0
173,1jm7_B,ZN,144,1jm7_B_1,1,,,,,,,data,1jm7_B,match,False,1jm7_B_1
174,1job_A,ZN,303,1job_A_2,1,,,,,,,data,1job_A,match,False,1job_A_0
175,1job_A,ZN,304,1job_A_3,1,,,,,,,data,1job_A,partial,False,1job_A_1
176,1job_A,ZN,305,1job_A_4,1,,,,,,,data,1job_A,partial,False,1job_A_2
177,1joe_A,ZN,205,1joe_A_0,1,,,,,,,data,1joe_A,match,False,1joe_A_0
178,1jq5_A,ZN,372,1jq5_A_1,1,,,,,,,data,1jq5_A,match,False,1jq5_A_0
179,1jz7_A,MG,3105,1jz7_A_3,1,,,,,,,data,1jz7_A,match,False,1jz7_A_0
180,1jzs_A,ZN,1102,1jzs_A_1,1,,,,,,,data,1jzs_A,match,False,1jzs_A_1
181,1k0v_A,CU,74,1k0v_A_0,1,,,,,,,data,1k0v_A,match,False,1k0v_A_0
182,1k24_A,ZN,401,1k24_A_0,1,,,,,,,data,1k24_A,match,False,1k24_A_0
183,1k24_A,ZN,402,1k24_A_1,1,,,,,,,data,1k24_A,match,False,1k24_A_1
184,1k24_A,ZN,403,1k24_A_2,1,,,,,,,data,1k24_A,match,False,1k24_A_2
185,1k51_A,ZN,1003,1k51_A_2,1,,,,,,,data,1k51_A,match,False,1k51_A_0
186,1k77_A,MG,301,1k77_A_1,1,,,,,,,data,1k77_A,match,False,1k77_A_0
187,1k81_A,ZN,144,1k81_A_0,1,,,,,,,data,1k81_A,match,False,1k81_A_0
188,1k9z_A,ZN,404,1k9z_A_1,1,,,,,,,data,1k9z_A,match,False,1k9z_A_1
189,1k9z_A,ZN,405,1k9z_A_2,1,,,,,,,data,1k9z_A,match,False,1k9z_A_2
190,1k9z_A,ZN,406,1k9z_A_3,1,,,,,,,data,1k9z_A,match,False,1k9z_A_3
191,1k9z_A,ZN,407,1k9z_A_4,1,,,,,,,data,1k9z_A,match,False,1k9z_A_4
192,1k9z_A,ZN,408,1k9z_A_5,1,,,,,,,data,1k9z_A,match,False,1k9z_A_5
193,1k9z_A,ZN,409,1k9z_A_6,1,,,,,,,data,1k9z_A,match,False,1k9z_A_6
194,1kl9_A,ZN,501,1kl9_A_0,1,,,,,,,data,1kl9_A,match,False,1kl9_A_0
195,1kol_A,ZN,1002,1kol_A_1,1,,,,,,,data,1kol_A,match,False,1kol_A_1
196,1ksi_B,MN,653,1ksi_B_1,1,,,,,,,data,1ksi_B,match,False,1ksi_B_1
197,1kys_A,ZN,308,1kys_A_2,1,,,,,,,data,1kys_A,match,False,1kys_A_0
198,1l0y_B,ZN,702,1l0y_B_0,1,,,,,,,data,1l0y_B,match,False,1l0y_B_0
199,1l1o_C,ZN,1,1l1o_C_0,1,,,,,,,data,1l1o_C,match,False,1l1o_C_0
200,1l3e_B,ZN,202,1l3e_B_0,1,,,,,,,data,1l3e_B,match,False,1l3e_B_0
201,1l3e_B,ZN,203,1l3e_B_1,1,,,,,,,data,1l3e_B,match,False,1l3e_B_1
202,1l3e_B,ZN,204,1l3e_B_2,1,,,,,,,data,1l3e_B,match,False,1l3e_B_2
203,1l5g_B,MN,4002,1l5g_B_1,1,,,,,,,data,1l5g_B,match,False,1l5g_B_0
204,1l5y_A,MG,701,1l5y_A_0,1,,,,,,,data,1l5y_A,match,False,1l5y_A_0
205,1l8c_A,ZN,96,1l8c_A_0,1,,,,,,,data,1l8c_A,match,False,1l8c_A_0
206,1l8c_A,ZN,98,1l8c_A_2,1,,,,,,,data,1l8c_A,match,False,1l8c_A_1
207,1lam_A,ZN,490,1lam_A_1,1,,,,,,,data,1lam_A,match,False,1lam_A_0
208,1ldf_A,MG,301,1ldf_A_0,1,,,,,,,data,1ldf_A,partial,False,1ldf_A_0
209,1ldf_A,MG,302,1ldf_A_1,1,,,,,,,data,1ldf_A,partial,False,1ldf_A_1
210,1liq_A,ZN,28,1liq_A_0,1,,,,,,,data,1liq_A,match,False,1liq_A_0
211,1lko_A,FE2,600,1lko_A_0,2,FE2,601,,,,,data,1lko_A,match,False,1lko_A_1
212,1lko_A,FE2,401,1lko_A_1,1,,,,,,,data,1lko_A,match,False,1lko_A_0
213,1llu_A,ZN,344,1llu_A_1,1,,,,,,,data,1llu_A,match,False,1llu_A_0
214,1lm3_B,MG,107,1lm3_B_0,1,,,,,,,data,1lm3_B,match,False,1lm3_B_0
215,1lpv_A,ZN,53,1lpv_A_0,1,,,,,,,data,1lpv_A,match,False,1lpv_A_0
216,1lpv_A,ZN,54,1lpv_A_1,1,,,,,,,data,1lpv_A,match,False,1lpv_A_1
217,1lr5_A,ZN,180,1lr5_A_0,1,,,,,,,data,1lr5_A,match,False,1lr5_A_0
218,1ls1_A,MG,400,1ls1_A_0,1,,,,,,,data,1ls1_A,match,False,1ls1_A_0
219,1ltl_A,ZN,275,1ltl_A_0,1,,,,,,,data,1ltl_A,match,False,1ltl_A_0
220,1lv3_A,ZN,66,1lv3_A_0,1,,,,,,,data,1lv3_A,match,False,1lv3_A_0
221,1m2a_A,ZN,302,1m2a_A_1,1,,,,,,,data,1m2a_A,match,False,1m2a_A_1
222,1m2a_A,FES,201,1m2a_A_4,2,FES,201,,,,,data,1m2a_A,partial,False,1m2a_A_0
223,1m2x_B,ZN,900,1m2x_B_1,1,,,,,,,data,1m2x_B,match,False,1m2x_B_0
224,1m36_A,ZN,34,1m36_A_0,1,,,,,,,data,1m36_A,match,False,1m36_A_0
225,1m55_A,ZN,202,1m55_A_0,1,,,,,,,data,1m55_A,match,False,1m55_A_0
226,1m55_A,ZN,205,1m55_A_1,1,,,,,,,data,1m55_A,match,False,1m55_A_1
227,1m5e_B,ZN,1706,1m5e_B_0,1,,,,,,,data,1m5e_B,match,False,1m5e_B_0
228,1m5e_B,ZN,1709,1m5e_B_2,1,,,,,,,data,1m5e_B,match,False,1m5e_B_1
229,1m9o_A,ZN,78,1m9o_A_0,1,,,,,,,data,1m9o_A,match,False,1m9o_A_0
230,1mb3_A,MG,201,1mb3_A_0,1,,,,,,,data,1mb3_A,match,False,1mb3_A_0
231,1mkm_A,ZN,402,1mkm_A_0,1,,,,,,,data,1mkm_A,match,False,1mkm_A_0
232,1mm2_A,ZN,62,1mm2_A_0,1,,,,,,,data,1mm2_A,match,False,1mm2_A_0
233,1mr1_C,ZN,601,1mr1_C_0,1,,,,,,,data,1mr1_C,match,False,1mr1_C_0
234,1mrp_A,FE,310,1mrp_A_0,1,,,,,,,data,1mrp_A,match,False,1mrp_A_0
235,1muw_A,MG,454,1muw_A_3,1,,,,,,,data,1muw_A,match,False,1muw_A_0
236,1mvo_A,MN,200,1mvo_A_0,1,,,,,,,data,1mvo_A,match,False,1mvo_A_0
237,1mwq_B,ZN,302,1mwq_B_0,1,,,,,,,data,1mwq_B,match,False,1mwq_B_0
238,1mxd_A,ZN,725,1mxd_A_0,1,,,,,,,data,1mxd_A,match,False,1mxd_A_0
239,1mxd_A,ZN,726,1mxd_A_1,1,,,,,,,data,1mxd_A,match,False,1mxd_A_1
240,1mxd_A,ZN,727,1mxd_A_2,1,,,,,,,data,1mxd_A,match,False,1mxd_A_2
241,1mxd_A,ZN,728,1mxd_A_3,1,,,,,,,data,1mxd_A,match,False,1mxd_A_3
242,1mxd_A,ZN,729,1mxd_A_4,1,,,,,,,data,1mxd_A,match,False,1mxd_A_4
243,1mzb_A,ZN,201,1mzb_A_0,1,,,,,,,data,1mzb_A,match,False,1mzb_A_0
244,1mzb_A,ZN,202,1mzb_A_1,1,,,,,,,data,1mzb_A,match,False,1mzb_A_1
245,1mzb_A,ZN,203,1mzb_A_2,1,,,,,,,data,1mzb_A,match,False,1mzb_A_2
246,1mzb_A,ZN,204,1mzb_A_3,1,,,,,,,data,1mzb_A,match,False,1mzb_A_3
247,1n67_A,MG,900,1n67_A_0,1,,,,,,,data,1n67_A,match,False,1n67_A_0
248,1n67_A,MG,901,1n67_A_1,1,,,,,,,data,1n67_A,match,False,1n67_A_1
249,1nc8_A,ZN,30,1nc8_A_0,1,,,,,,,data,1nc8_A,match,False,1nc8_A_0
250,1ncs_A,ZN,61,1ncs_A_0,1,,,,,,,data,1ncs_A,match,False,1ncs_A_0
251,1nee_A,ZN,136,1nee_A_0,1,,,,,,,data,1nee_A,match,False,1nee_A_0
252,1nfv_A,FE,200,1nfv_A_0,2,FE,201,,,,,data,1nfv_A,match,False,1nfv_A_0
253,1nn7_A,ZN,201,1nn7_A_0,1,,,,,,,data,1nn7_A,match,False,1nn7_A_0
254,1nnq_A,ZN,200,1nnq_A_0,1,,,,,,,data,1nnq_A,match,False,1nnq_A_0
255,1nnt_A,FE,333,1nnt_A_0,1,,,,,,,data,1nnt_A,match,False,1nnt_A_0
256,1no5_A,ZN,501,1no5_A_0,2,ZN,511,,,,,data,1no5_A,partial,False,1no5_A_0
257,1no5_A,ZN,521,1no5_A_1,1,,,,,,,data,1no5_A,partial,False,1no5_A_1
258,1no5_A,ZN,531,1no5_A_2,1,,,,,,,data,1no5_A,partial,False,1no5_A_2
259,1nr0_A,MN,700,1nr0_A_0,1,,,,,,,data,1nr0_A,match,False,1nr0_A_0
260,1nrj_B,MG,2,1nrj_B_1,1,,,,,,,data,1nrj_B,match,False,1nrj_B_0
261,1nu4_B,MG,501,1nu4_B_0,1,,,,,,,data,1nu4_B,match,False,1nu4_B_0
